Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
AVGO,Broadcom Inc.
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
ASML,ASML Holding
COST,Costco
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
SHOP,Shopify
PEP,PepsiCo
ISRG,Intuitive Surgical
APP,Applovin Corp
AMAT,Applied Materials
LRCX,Lam Research
INTC,Intel
LIN,Linde plc
AMGN,Amgen
QCOM,Qualcomm
INTU,Intuit
PDD,PDD Holdings
BKNG,Booking Holdings
GILD,Gilead Sciences
KLAC,KLA Corporation
TXN,Texas Instruments
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
SBUX,Starbucks
CMCSA,Comcast
ORLY,O'Reilly Automotive
DASH,DoorDash
CDNS,Cadence Design Systems
REGN,Regeneron Pharmaceuticals
MAR,Marriott International
SNPS,Synopsys
MRVL,Marvell Technology
CTAS,Cintas
MDLZ,Mondelez International
MNST,Monster Beverage
ABNB,Airbnb
AEP,American Electric Power
CSX,CSX Corporation
ADSK,Autodesk
FTNT,Fortinet
TRI,Thomson Reuters Corporation
IDXX,Idexx Laboratories
WBD,Warner Bros. Discovery
PYPL,PayPal
WDAY,"Workday, Inc."
ROST,Ross Stores
DDOG,Datadog
PCAR,Paccar
MSTR,MicroStrategy Inc.
EA,Electronic Arts
BKR,Baker Hughes
NXPI,NXP Semiconductors
XEL,Xcel Energy
ROP,Roper Technologies
EXC,Exelon
FAST,Fastenal
TTWO,Take-Two Interactive
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
ZS,Zscaler
TEAM,Atlassian
KDP,Keurig Dr Pepper
CPRT,Copart
CTSH,Cognizant
GEHC,GE HealthCare
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
