Symbol,Name
GS,"The Goldman Sachs Group, Inc."
CAT,Caterpillar Inc.
MSFT,Microsoft Corporation
AXP,American Express Company
HD,"The Home Depot, Inc."
AMGN,Amgen Inc.
SHW,Sherwin-Williams
V,Visa Inc.
UNH,UnitedHealth Group Incorporated
MCD,McDonald's Corporation
JPM,JPMorgan Chase & Co.
IBM,International Business Machines Corporation
TRV,"The Travelers Companies, Inc."
AAPL,Apple Inc.
AMZN,"Amazon.com, Inc.amazon.com"
CRM,"Salesforce, Inc."
JNJ,Johnson & Johnson
HON,Honeywell International Inc.
BA,The Boeing Company
NVDA,Nvidia
MMM,3M Company
CVX,Chevron Corporation
PG,The Procter & Gamble Company
WMT,Walmart Inc.
MRK,"Merck & Co., Inc."
DIS,The Walt Disney Company
CSCO,"Cisco Systems, Inc."
KO,The Coca-Cola Company
NKE,"Nike, Inc."
VZ,Verizon Communications Inc.
