Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
AVGO,Broadcom Inc.
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
TSLA,"Tesla, Inc."
PLTR,Palantir Technologies
ASML,ASML Holding
NFLX,Netflix
COST,Costco
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
MU,Micron Technology
AZN,AstraZeneca
APP,Applovin Corp
TMUS,T-Mobile US
AMAT,Applied Materials
LRCX,Lam Research
SHOP,Shopify
ISRG,Intuitive Surgical
PEP,PepsiCo
INTC,Intel
QCOM,Qualcomm
INTU,Intuit
LIN,Linde plc
AMGN,Amgen
BKNG,Booking Holdings
PDD,PDD Holdings
TXN,Texas Instruments
KLAC,KLA Corporation
ARM,Arm Holdings
GILD,Gilead Sciences
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
DASH,DoorDash
CMCSA,Comcast
SBUX,Starbucks
CDNS,Cadence Design Systems
SNPS,Synopsys
ORLY,O'Reilly Automotive
MAR,Marriott International
ABNB,Airbnb
MRVL,Marvell Technology
CTAS,Cintas
REGN,Regeneron Pharmaceuticals
MNST,Monster Beverage
WBD,Warner Bros. Discovery
MDLZ,Mondelez International
CSX,CSX Corporation
ADSK,Autodesk
FTNT,Fortinet
AEP,American Electric Power
ROST,Ross Stores
WDAY,"Workday, Inc."
TRI,Thomson Reuters Corporation
PCAR,Paccar
PYPL,PayPal
NXPI,NXP Semiconductors
IDXX,Idexx Laboratories
MSTR,MicroStrategy Inc.
DDOG,Datadog
EA,Electronic Arts
ROP,Roper Technologies
BKR,Baker Hughes
FAST,Fastenal
TTWO,Take-Two Interactive
FANG,Diamondback Energy
XEL,Xcel Energy
EXC,Exelon
AXON,Axon Enterprise Inc.
TEAM,Atlassian
PAYX,Paychex
CCEP,Coca-Cola Europacific Partners
KDP,Keurig Dr Pepper
CTSH,Cognizant
ZS,Zscaler
GEHC,GE HealthCare
CPRT,Copart
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
CHTR,Charter Communications
BIIB,Biogen
DXCM,DexCom
GFS,GlobalFoundries
ON,Onsemi
LULU,Lululemon Athletica
CDW,CDW Corporation
TTD,Trade Desk (The)
