Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
PLTR,Palantir Technologies
ASML,ASML Holding
NFLX,Netflix
COST,Costco
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
APP,Applovin Corp
AMAT,Applied Materials
SHOP,Shopify
ISRG,Intuitive Surgical
LRCX,Lam Research
PEP,PepsiCo
INTC,Intel
INTU,Intuit
QCOM,Qualcomm
LIN,Linde plc
AMGN,Amgen
BKNG,Booking Holdings
PDD,PDD Holdings
TXN,Texas Instruments
KLAC,KLA Corporation
GILD,Gilead Sciences
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
VRTX,Vertex Pharmaceuticals
CEG,Constellation Energy
ADP,ADP
MELI,MercadoLibre
CMCSA,Comcast
DASH,DoorDash
SBUX,Starbucks
CDNS,Cadence Design Systems
SNPS,Synopsys
MRVL,Marvell Technology
ORLY,O'Reilly Automotive
MAR,Marriott International
REGN,Regeneron Pharmaceuticals
ABNB,Airbnb
CTAS,Cintas
MNST,Monster Beverage
MDLZ,Mondelez International
CSX,CSX Corporation
ADSK,Autodesk
FTNT,Fortinet
WBD,Warner Bros. Discovery
AEP,American Electric Power
TRI,Thomson Reuters Corporation
PYPL,PayPal
PCAR,Paccar
WDAY,"Workday, Inc."
ROST,Ross Stores
NXPI,NXP Semiconductors
IDXX,Idexx Laboratories
DDOG,Datadog
MSTR,MicroStrategy Inc.
EA,Electronic Arts
BKR,Baker Hughes
ROP,Roper Technologies
FAST,Fastenal
TTWO,Take-Two Interactive
XEL,Xcel Energy
FANG,Diamondback Energy
EXC,Exelon
AXON,Axon Enterprise Inc.
TEAM,Atlassian
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
KDP,Keurig Dr Pepper
CTSH,Cognizant
GEHC,GE HealthCare
ZS,Zscaler
CPRT,Copart
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
VRSK,Verisk
CSGP,CoStar Group
KHC,Kraft Heinz
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
