Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
COST,Costco
PLTR,Palantir Technologies
ASML,ASML Holding
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
SHOP,Shopify
ISRG,Intuitive Surgical
PEP,PepsiCo
LIN,Linde plc
APP,Applovin Corp
LRCX,Lam Research
AMAT,Applied Materials
INTU,Intuit
AMGN,Amgen
QCOM,Qualcomm
INTC,Intel
PDD,PDD Holdings
BKNG,Booking Holdings
GILD,Gilead Sciences
KLAC,KLA Corporation
TXN,Texas Instruments
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
CRWD,CrowdStrike
HON,Honeywell
ADI,Analog Devices
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
CMCSA,Comcast
SBUX,Starbucks
ORLY,O'Reilly Automotive
CDNS,Cadence Design Systems
DASH,DoorDash
REGN,Regeneron Pharmaceuticals
MAR,Marriott International
SNPS,Synopsys
CTAS,Cintas
MRVL,Marvell Technology
MDLZ,Mondelez International
MNST,Monster Beverage
ABNB,Airbnb
AEP,American Electric Power
CSX,CSX Corporation
ADSK,Autodesk
WDAY,"Workday, Inc."
IDXX,Idexx Laboratories
FTNT,Fortinet
TRI,Thomson Reuters Corporation
WBD,Warner Bros. Discovery
PYPL,PayPal
ROST,Ross Stores
DDOG,Datadog
PCAR,Paccar
MSTR,MicroStrategy Inc.
EA,Electronic Arts
BKR,Baker Hughes
NXPI,NXP Semiconductors
ROP,Roper Technologies
XEL,Xcel Energy
EXC,Exelon
FAST,Fastenal
ZS,Zscaler
TTWO,Take-Two Interactive
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
TEAM,Atlassian
CPRT,Copart
KDP,Keurig Dr Pepper
CTSH,Cognizant
GEHC,GE HealthCare
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
GFS,GlobalFoundries
ON,Onsemi
TTD,Trade Desk (The)
CDW,CDW Corporation
