Symbol,Name
GS,"The Goldman Sachs Group, Inc."
CAT,Caterpillar Inc.
MSFT,Microsoft Corporation
AXP,American Express Company
SHW,Sherwin-Williams
HD,"The Home Depot, Inc."
AMGN,Amgen Inc.
V,Visa Inc.
UNH,UnitedHealth Group Incorporated
IBM,International Business Machines Corporation
MCD,McDonald's Corporation
JPM,JPMorgan Chase & Co.
TRV,"The Travelers Companies, Inc."
AAPL,Apple Inc.
AMZN,"Amazon.com, Inc.amazon.com"
CRM,"Salesforce, Inc."
JNJ,Johnson & Johnson
HON,Honeywell International Inc.
NVDA,Nvidia
BA,The Boeing Company
MMM,3M Company
CVX,Chevron Corporation
PG,The Procter & Gamble Company
WMT,Walmart Inc.
DIS,The Walt Disney Company
MRK,"Merck & Co., Inc."
CSCO,"Cisco Systems, Inc."
KO,The Coca-Cola Company
NKE,"Nike, Inc."
VZ,Verizon Communications Inc.
