Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
ASML,ASML Holding
COST,Costco
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
APP,Applovin Corp
AMAT,Applied Materials
INTC,Intel
SHOP,Shopify
PEP,PepsiCo
ISRG,Intuitive Surgical
LRCX,Lam Research
LIN,Linde plc
QCOM,Qualcomm
AMGN,Amgen
INTU,Intuit
PDD,PDD Holdings
BKNG,Booking Holdings
TXN,Texas Instruments
KLAC,KLA Corporation
GILD,Gilead Sciences
ARM,Arm Holdings
ADBE,Adobe Inc.
ADI,Analog Devices
PANW,Palo Alto Networks
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
CMCSA,Comcast
SBUX,Starbucks
DASH,DoorDash
MRVL,Marvell Technology
CDNS,Cadence Design Systems
ORLY,O'Reilly Automotive
SNPS,Synopsys
MAR,Marriott International
REGN,Regeneron Pharmaceuticals
CTAS,Cintas
MNST,Monster Beverage
MDLZ,Mondelez International
ABNB,Airbnb
CSX,CSX Corporation
ADSK,Autodesk
AEP,American Electric Power
FTNT,Fortinet
WBD,Warner Bros. Discovery
TRI,Thomson Reuters Corporation
PYPL,PayPal
IDXX,Idexx Laboratories
ROST,Ross Stores
WDAY,"Workday, Inc."
PCAR,Paccar
DDOG,Datadog
NXPI,NXP Semiconductors
MSTR,MicroStrategy Inc.
EA,Electronic Arts
BKR,Baker Hughes
ROP,Roper Technologies
XEL,Xcel Energy
FAST,Fastenal
TTWO,Take-Two Interactive
EXC,Exelon
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
TEAM,Atlassian
PAYX,Paychex
ZS,Zscaler
KDP,Keurig Dr Pepper
CPRT,Copart
CTSH,Cognizant
GEHC,GE HealthCare
MCHP,Microchip Technology
VRSK,Verisk
KHC,Kraft Heinz
ODFL,Old Dominion Freight Line
CSGP,CoStar Group
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
