Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
ASML,ASML Holding
NFLX,Netflix
PLTR,Palantir Technologies
COST,Costco
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
APP,Applovin Corp
AMAT,Applied Materials
INTC,Intel
SHOP,Shopify
PEP,PepsiCo
ISRG,Intuitive Surgical
LRCX,Lam Research
LIN,Linde plc
QCOM,Qualcomm
AMGN,Amgen
INTU,Intuit
PDD,PDD Holdings
TXN,Texas Instruments
BKNG,Booking Holdings
KLAC,KLA Corporation
GILD,Gilead Sciences
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
VRTX,Vertex Pharmaceuticals
CEG,Constellation Energy
MELI,MercadoLibre
ADP,ADP
CMCSA,Comcast
SBUX,Starbucks
DASH,DoorDash
CDNS,Cadence Design Systems
SNPS,Synopsys
MRVL,Marvell Technology
ORLY,O'Reilly Automotive
MAR,Marriott International
REGN,Regeneron Pharmaceuticals
CTAS,Cintas
ABNB,Airbnb
MNST,Monster Beverage
MDLZ,Mondelez International
CSX,CSX Corporation
ADSK,Autodesk
AEP,American Electric Power
FTNT,Fortinet
WBD,Warner Bros. Discovery
TRI,Thomson Reuters Corporation
IDXX,Idexx Laboratories
ROST,Ross Stores
PYPL,PayPal
PCAR,Paccar
NXPI,NXP Semiconductors
WDAY,"Workday, Inc."
MSTR,MicroStrategy Inc.
DDOG,Datadog
EA,Electronic Arts
BKR,Baker Hughes
ROP,Roper Technologies
FAST,Fastenal
XEL,Xcel Energy
TTWO,Take-Two Interactive
FANG,Diamondback Energy
EXC,Exelon
AXON,Axon Enterprise Inc.
TEAM,Atlassian
PAYX,Paychex
CCEP,Coca-Cola Europacific Partners
ZS,Zscaler
KDP,Keurig Dr Pepper
CTSH,Cognizant
CPRT,Copart
GEHC,GE HealthCare
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
ON,Onsemi
LULU,Lululemon Athletica
GFS,GlobalFoundries
CDW,CDW Corporation
TTD,Trade Desk (The)
