Symbol,Name
GS,"The Goldman Sachs Group, Inc."
CAT,Caterpillar Inc.
MSFT,Microsoft Corporation
AXP,American Express Company
HD,"The Home Depot, Inc."
AMGN,Amgen Inc.
UNH,UnitedHealth Group Incorporated
SHW,Sherwin-Williams
V,Visa Inc.
JPM,JPMorgan Chase & Co.
MCD,McDonald's Corporation
IBM,International Business Machines Corporation
AAPL,Apple Inc.
TRV,"The Travelers Companies, Inc."
CRM,"Salesforce, Inc."
AMZN,"Amazon.com, Inc.amazon.com"
JNJ,Johnson & Johnson
BA,The Boeing Company
HON,Honeywell International Inc.
NVDA,Nvidia
MMM,3M Company
CVX,Chevron Corporation
PG,The Procter & Gamble Company
WMT,Walmart Inc.
DIS,The Walt Disney Company
MRK,"Merck & Co., Inc."
CSCO,"Cisco Systems, Inc."
KO,The Coca-Cola Company
NKE,"Nike, Inc."
VZ,Verizon Communications Inc.
