Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
COST,Costco
PLTR,Palantir Technologies
ASML,ASML Holding
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
ISRG,Intuitive Surgical
SHOP,Shopify
PEP,PepsiCo
AMAT,Applied Materials
LRCX,Lam Research
LIN,Linde plc
APP,Applovin Corp
AMGN,Amgen
INTU,Intuit
QCOM,Qualcomm
INTC,Intel
PDD,PDD Holdings
BKNG,Booking Holdings
GILD,Gilead Sciences
KLAC,KLA Corporation
TXN,Texas Instruments
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
CRWD,CrowdStrike
ADI,Analog Devices
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
SBUX,Starbucks
CMCSA,Comcast
ORLY,O'Reilly Automotive
DASH,DoorDash
REGN,Regeneron Pharmaceuticals
CDNS,Cadence Design Systems
MAR,Marriott International
SNPS,Synopsys
CTAS,Cintas
MNST,Monster Beverage
MDLZ,Mondelez International
ABNB,Airbnb
MRVL,Marvell Technology
ADSK,Autodesk
CSX,CSX Corporation
AEP,American Electric Power
IDXX,Idexx Laboratories
FTNT,Fortinet
TRI,Thomson Reuters Corporation
WDAY,"Workday, Inc."
PYPL,PayPal
ROST,Ross Stores
WBD,Warner Bros. Discovery
DDOG,Datadog
PCAR,Paccar
EA,Electronic Arts
MSTR,MicroStrategy Inc.
BKR,Baker Hughes
ROP,Roper Technologies
NXPI,NXP Semiconductors
XEL,Xcel Energy
EXC,Exelon
FAST,Fastenal
TTWO,Take-Two Interactive
ZS,Zscaler
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
TEAM,Atlassian
CPRT,Copart
CTSH,Cognizant
KDP,Keurig Dr Pepper
GEHC,GE HealthCare
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
ODFL,Old Dominion Freight Line
MCHP,Microchip Technology
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
