Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
AVGO,Broadcom Inc.
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
TSLA,"Tesla, Inc."
ASML,ASML Holding
PLTR,Palantir Technologies
NFLX,Netflix
COST,Costco
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
APP,Applovin Corp
TMUS,T-Mobile US
AMAT,Applied Materials
SHOP,Shopify
LRCX,Lam Research
ISRG,Intuitive Surgical
PEP,PepsiCo
INTC,Intel
QCOM,Qualcomm
LIN,Linde plc
INTU,Intuit
AMGN,Amgen
BKNG,Booking Holdings
PDD,PDD Holdings
TXN,Texas Instruments
KLAC,KLA Corporation
GILD,Gilead Sciences
ARM,Arm Holdings
ADBE,Adobe Inc.
ADI,Analog Devices
PANW,Palo Alto Networks
CRWD,CrowdStrike
HON,Honeywell
VRTX,Vertex Pharmaceuticals
CEG,Constellation Energy
MELI,MercadoLibre
ADP,ADP
DASH,DoorDash
CMCSA,Comcast
SBUX,Starbucks
CDNS,Cadence Design Systems
SNPS,Synopsys
ORLY,O'Reilly Automotive
MRVL,Marvell Technology
MAR,Marriott International
ABNB,Airbnb
REGN,Regeneron Pharmaceuticals
CTAS,Cintas
MNST,Monster Beverage
MDLZ,Mondelez International
CSX,CSX Corporation
WBD,Warner Bros. Discovery
ADSK,Autodesk
FTNT,Fortinet
AEP,American Electric Power
TRI,Thomson Reuters Corporation
WDAY,"Workday, Inc."
ROST,Ross Stores
NXPI,NXP Semiconductors
PCAR,Paccar
PYPL,PayPal
IDXX,Idexx Laboratories
DDOG,Datadog
MSTR,MicroStrategy Inc.
EA,Electronic Arts
ROP,Roper Technologies
BKR,Baker Hughes
FAST,Fastenal
TTWO,Take-Two Interactive
FANG,Diamondback Energy
XEL,Xcel Energy
AXON,Axon Enterprise Inc.
EXC,Exelon
TEAM,Atlassian
PAYX,Paychex
CCEP,Coca-Cola Europacific Partners
KDP,Keurig Dr Pepper
ZS,Zscaler
CTSH,Cognizant
GEHC,GE HealthCare
CPRT,Copart
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
CHTR,Charter Communications
BIIB,Biogen
DXCM,DexCom
ON,Onsemi
GFS,GlobalFoundries
LULU,Lululemon Athletica
TTD,Trade Desk (The)
CDW,CDW Corporation
