Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
ASML,ASML Holding
COST,Costco
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
APP,Applovin Corp
PEP,PepsiCo
AMAT,Applied Materials
ISRG,Intuitive Surgical
LRCX,Lam Research
SHOP,Shopify
INTC,Intel
LIN,Linde plc
AMGN,Amgen
QCOM,Qualcomm
INTU,Intuit
PDD,PDD Holdings
BKNG,Booking Holdings
GILD,Gilead Sciences
TXN,Texas Instruments
KLAC,KLA Corporation
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
MELI,MercadoLibre
ADP,ADP
CMCSA,Comcast
SBUX,Starbucks
DASH,DoorDash
ORLY,O'Reilly Automotive
CDNS,Cadence Design Systems
SNPS,Synopsys
MAR,Marriott International
MRVL,Marvell Technology
REGN,Regeneron Pharmaceuticals
CTAS,Cintas
MNST,Monster Beverage
MDLZ,Mondelez International
ABNB,Airbnb
CSX,CSX Corporation
ADSK,Autodesk
AEP,American Electric Power
FTNT,Fortinet
WBD,Warner Bros. Discovery
TRI,Thomson Reuters Corporation
PYPL,PayPal
IDXX,Idexx Laboratories
ROST,Ross Stores
DDOG,Datadog
WDAY,"Workday, Inc."
PCAR,Paccar
EA,Electronic Arts
NXPI,NXP Semiconductors
MSTR,MicroStrategy Inc.
BKR,Baker Hughes
ROP,Roper Technologies
XEL,Xcel Energy
FAST,Fastenal
EXC,Exelon
TTWO,Take-Two Interactive
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
TEAM,Atlassian
PAYX,Paychex
ZS,Zscaler
KDP,Keurig Dr Pepper
CPRT,Copart
CTSH,Cognizant
GEHC,GE HealthCare
VRSK,Verisk
KHC,Kraft Heinz
ODFL,Old Dominion Freight Line
MCHP,Microchip Technology
CSGP,CoStar Group
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
