Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
AVGO,Broadcom Inc.
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
ASML,ASML Holding
PLTR,Palantir Technologies
COST,Costco
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
APP,Applovin Corp
AMAT,Applied Materials
SHOP,Shopify
ISRG,Intuitive Surgical
PEP,PepsiCo
LRCX,Lam Research
INTC,Intel
LIN,Linde plc
QCOM,Qualcomm
INTU,Intuit
AMGN,Amgen
PDD,PDD Holdings
TXN,Texas Instruments
BKNG,Booking Holdings
KLAC,KLA Corporation
GILD,Gilead Sciences
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
VRTX,Vertex Pharmaceuticals
CEG,Constellation Energy
MELI,MercadoLibre
ADP,ADP
CMCSA,Comcast
SBUX,Starbucks
DASH,DoorDash
CDNS,Cadence Design Systems
SNPS,Synopsys
MRVL,Marvell Technology
ORLY,O'Reilly Automotive
MAR,Marriott International
REGN,Regeneron Pharmaceuticals
CTAS,Cintas
ABNB,Airbnb
MDLZ,Mondelez International
MNST,Monster Beverage
CSX,CSX Corporation
ADSK,Autodesk
FTNT,Fortinet
AEP,American Electric Power
WBD,Warner Bros. Discovery
TRI,Thomson Reuters Corporation
PYPL,PayPal
ROST,Ross Stores
IDXX,Idexx Laboratories
NXPI,NXP Semiconductors
PCAR,Paccar
WDAY,"Workday, Inc."
DDOG,Datadog
MSTR,MicroStrategy Inc.
EA,Electronic Arts
BKR,Baker Hughes
FAST,Fastenal
ROP,Roper Technologies
XEL,Xcel Energy
TTWO,Take-Two Interactive
FANG,Diamondback Energy
EXC,Exelon
AXON,Axon Enterprise Inc.
TEAM,Atlassian
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
KDP,Keurig Dr Pepper
CTSH,Cognizant
ZS,Zscaler
GEHC,GE HealthCare
CPRT,Copart
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
ON,Onsemi
LULU,Lululemon Athletica
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
